,Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
5427,a8690f51-3610-43bb-b5f4-f54ada629258,4273e19d-caff-428f-adae-9b22887275f2,Fully Paid,43692.0,Short Term,721.0,707370.0,< 1 year,Own Home,Debt Consolidation,15621.23,11.9,300.0,5.0,0.0,46683.0,133144.0,0.0,0.0
5428,152bbf0b-6643-46d5-a947-4de9222bb264,c408750c-9e46-420b-8c1b-80bffbedc9a3,Fully Paid,234696.0,Short Term,707.0,1326333.0,3 years,Home Mortgage,Debt Consolidation,16689.79,26.7,18.0,7.0,0.0,141474.0,259600.0,0.0,0.0
5430,02e912b8-a48a-4898-800a-30d7fe2484a7,b1befd8c-8eb9-4c4d-a5cb-21148c4b9502,Fully Paid,130636.0,Short Term,731.0,692208.0,2 years,Rent,Debt Consolidation,8306.42,8.9,300.0,7.0,0.0,353742.0,405152.0,0.0,0.0
5431,39eecbfc-60b1-40dd-ae33-07bf25312b1e,b7f09842-393f-4d71-aece-e1e1943278be,Fully Paid,103180.0,Short Term,709.0,891024.0,2 years,Rent,Medical Bills,1395.93,23.9,68.0,5.0,0.0,52858.0,120252.0,0.0,0.0
5432,5494fb39-6a47-45cb-97e0-918bab3c3bcb,363ebd0a-c932-43f0-83cd-78e2af121633,Fully Paid,439560.0,Short Term,719.0,862790.0,10+ years,Home Mortgage,Debt Consolidation,12007.05,9.5,300.0,7.0,0.0,524210.0,694496.0,0.0,0.0
5434,7e89d0d0-312b-4c35-904f-5ee58542fcd9,c68e4653-01eb-4e55-88c3-80b151fa9c90,Charged Off,304590.0,Short Term,746.0,1202510.0,1 year,Rent,Debt Consolidation,28960.18,19.7,300.0,9.0,0.0,314830.0,619982.0,0.0,0.0
5435,21658358-63df-46de-b1df-ecf6933a9dd4,bcd97c01-2056-4774-af61-80621557eda4,Charged Off,217844.0,Short Term,724.0,1174162.0,5 years,Rent,Other,10963.76,12.5,300.0,5.0,1.0,90326.0,290510.0,1.0,0.0
5438,544ac3ab-bfb3-4690-9858-4f349cf6264d,e12f4d26-96c2-42fa-949d-1573f842105f,Fully Paid,154506.0,Short Term,699.0,1427014.0,5 years,Rent,Medical Bills,39718.55,11.9,24.0,14.0,1.0,534185.0,692648.0,0.0,1.0
5440,896586d2-3378-4055-9ba0-d6f0fc843f34,0f1409fc-7810-488f-87ee-9198c9d0dbb7,Fully Paid,106700.0,Short Term,712.0,1474514.0,10+ years,Home Mortgage,Debt Consolidation,13147.81,19.0,17.0,4.0,0.0,10108.0,15554.0,0.0,0.0
5442,ef4421f4-0448-4d76-9014-da6f9eeb1cdf,dcb47bc1-a2ae-4ea1-8c8e-d4cb4e1f8a69,Fully Paid,202928.0,Short Term,748.0,1090486.0,5 years,Home Mortgage,Debt Consolidation,14267.29,20.4,58.0,7.0,0.0,226822.0,543752.0,0.0,0.0
5443,9a44eb27-64f4-47fd-bf82-45583512d40f,e619f5d7-9c78-438d-a749-ce615d45ff10,Fully Paid,358688.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,26752.76,12.4,26.0,16.0,0.0,293094.0,482064.0,0.0,0.0
5444,2ba556ee-013b-4d87-9a5d-fbd5fb6e9d18,defdf07c-4858-4ccb-97f5-f33616a578fa,Fully Paid,528836.0,Long Term,737.0,1874502.0,10+ years,Rent,Debt Consolidation,22025.37,18.3,300.0,12.0,0.0,397803.0,792814.0,0.0,0.0
5445,ea60e999-a26b-40bf-886f-51dd27c4b7d2,6c9dfaea-ddb9-4d14-a0e0-28baebaa7a1c,Fully Paid,244706.0,Short Term,715.0,1075913.0,10+ years,Home Mortgage,Debt Consolidation,13269.79,14.9,19.0,16.0,0.0,152779.0,360294.0,0.0,0.0
5446,3472b246-01f9-4623-be7c-bd3bbb0d9443,14fc68a9-d784-4409-8197-2dea26299b7f,Charged Off,322674.0,Long Term,724.0,1174162.0,1 year,Own Home,Debt Consolidation,20629.63,6.5,300.0,19.0,0.0,154280.0,219450.0,0.0,0.0
5447,916cd364-6e9d-4131-9f46-6bfd13772e5f,4fdb6694-6e2d-4f7c-9159-55e659cd2700,Fully Paid,344674.0,Short Term,719.0,1600009.0,4 years,Home Mortgage,Debt Consolidation,16933.56,21.0,21.0,10.0,0.0,312550.0,484462.0,0.0,0.0
5448,2354e6ea-4ab0-4ba3-9cba-50542981a5aa,addf89a7-6ac8-42b4-8dec-9e3b5ba8646a,Fully Paid,318626.0,Long Term,696.0,811851.0,10+ years,Home Mortgage,Debt Consolidation,20769.85,12.0,21.0,20.0,0.0,221274.0,587664.0,0.0,0.0
5449,b4887942-60d7-401b-bd47-254009cd43b8,cd91aef2-a302-40c8-b560-4aed3f2596c0,Fully Paid,262086.0,Short Term,689.0,596144.0,10+ years,Rent,Debt Consolidation,11127.92,4.1,14.0,18.0,0.0,53789.0,142494.0,0.0,0.0
5450,21616440-c836-4a16-a6f5-b03cb41d5131,40ff9a2c-72be-42ef-8aad-989116f227b2,Fully Paid,215930.0,Short Term,724.0,1174162.0,2 years,Rent,Take a Trip,1398.59,19.5,300.0,9.0,1.0,4579.0,265584.0,1.0,0.0
5451,c98822e2-5d8c-4dbe-aef7-ffdbe232747b,fc5303c6-dd1d-4d20-92db-fe90290a8e4a,Fully Paid,238106.0,Short Term,704.0,1332793.0,1 year,Rent,Medical Bills,42982.56,19.7,35.0,13.0,1.0,208278.0,319836.0,1.0,0.0
5452,2702fd94-e486-4fe8-925d-48029b8d6aa3,7509e78b-22b2-479a-b947-bb53ebab6a79,Fully Paid,178420.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,6086.84,13.5,12.0,11.0,0.0,110352.0,218416.0,0.0,0.0
5454,952d86ce-0351-4c33-80d8-85727b48d260,a2513651-7e5a-4c68-ad2d-54232f75a802,Fully Paid,329406.0,Short Term,733.0,758632.0,3 years,Rent,Debt Consolidation,19471.58,13.3,14.0,5.0,0.0,140315.0,180114.0,0.0,0.0
5455,461af42d-ae45-4c0d-8fb4-3e017544a2e8,be798449-e209-4a64-b611-5e30742fddc6,Fully Paid,88814.0,Short Term,724.0,1174162.0,9 years,Home Mortgage,Other,8948.05,22.6,300.0,5.0,1.0,30495.0,144122.0,1.0,0.0
5458,1a01049a-905e-4767-bc6a-4d69c2ced37a,2cf218a7-00d2-43e6-866f-7f6d6c98a44d,Fully Paid,270468.0,Short Term,743.0,1265267.0,2 years,Rent,Debt Consolidation,17397.35,7.4,300.0,7.0,0.0,275367.0,631356.0,0.0,0.0
5460,d9cb23a0-6f33-4900-bb3f-003252f6a4f8,55e33aec-8019-4d08-b991-1a1a6b278bec,Fully Paid,266156.0,Short Term,694.0,996094.0,10+ years,Home Mortgage,Debt Consolidation,19174.99,18.2,12.0,12.0,0.0,90972.0,172964.0,0.0,0.0
5461,6b0595d8-d66f-4bc6-a45e-c8865c942398,1f0ee45c-b88f-44c8-9e89-a0224090efce,Fully Paid,22044.0,Short Term,682.0,636386.0,0 years,Rent,Buy House,477.47,15.9,1.0,2.0,0.0,4959.0,26422.0,0.0,0.0
5464,412a9bd0-734d-46ca-837d-426d9af168be,5dd941a1-e70b-4e07-9759-629a4f47cd7a,Fully Paid,91938.0,Short Term,724.0,1174162.0,5 years,Home Mortgage,Other,15223.37,13.6,300.0,6.0,0.0,76209.0,119724.0,0.0,0.0
5467,702ac991-e5ca-443a-8ae9-566a738f751d,d90068f3-7f7b-4662-abac-a0bcc62cdaef,Fully Paid,252780.0,Short Term,724.0,1174162.0,5 years,Rent,Debt Consolidation,17321.35,16.4,300.0,12.0,1.0,87343.0,434060.0,1.0,0.0
5469,dae030ba-c844-4a57-bd87-ead19b0baf32,343b8cb8-6140-458f-a621-7eac174ccfe4,Charged Off,37972.0,Short Term,732.0,374832.0,0 years,Home Mortgage,Debt Consolidation,2786.35,25.5,72.0,12.0,3.0,15048.0,99594.0,0.0,1.0
5470,67705377-e205-4d13-bb9a-0464f79f2e65,83b763da-89f9-4e77-b6dd-b1c8285ad4b3,Fully Paid,33726.0,Short Term,677.0,1630960.0,5 years,Rent,Medical Bills,8820.75,19.4,12.0,3.0,0.0,21432.0,0.0,0.0,0.0
5471,41e439d7-e4b9-40c1-aee3-973a8584cb0d,eba20423-3790-4dc6-9ed1-d396e1932a72,Fully Paid,52646.0,Short Term,723.0,985036.0,10+ years,Own Home,Other,15350.1,20.6,300.0,9.0,0.0,168511.0,217030.0,0.0,0.0
5473,a7928340-0a74-416c-8978-aa87da21ec1f,f43ee5f4-495a-4709-9b7d-eba73014d4bd,Charged Off,542080.0,Long Term,675.0,1161033.0,10+ years,Rent,Debt Consolidation,10546.14,18.6,300.0,7.0,0.0,340062.0,414062.0,0.0,0.0
5474,bfa409d9-f6fb-42ec-9b6e-3b6b2e33d244,e316dfd4-ba1c-4ab8-9cc3-a4f0d0c27f22,Fully Paid,174658.0,Short Term,743.0,1319892.0,1 year,Rent,Debt Consolidation,6357.59,12.8,300.0,8.0,0.0,145692.0,342892.0,0.0,0.0
5476,d9721535-f71b-435b-8858-7d7dea67d129,31aa350c-ff0f-490d-a9f0-f7cdfe76e264,Fully Paid,89298.0,Short Term,713.0,616930.0,7 years,Rent,Debt Consolidation,10333.72,17.9,300.0,16.0,0.0,94544.0,120560.0,0.0,0.0
5478,638b4440-db87-4d0b-bf7b-aed0acdf8666,73ad8652-bda2-4678-b21f-683003528064,Fully Paid,281226.0,Short Term,744.0,2182169.0,9 years,Rent,Debt Consolidation,17293.8,9.1,300.0,13.0,0.0,334628.0,835054.0,0.0,0.0
5480,89afd552-6cb9-4acb-9a03-a4c2c7ecde9c,369009fb-a7ff-4fd7-b4c0-15a0cfd5a463,Fully Paid,222398.0,Short Term,740.0,653049.0,5 years,Rent,Debt Consolidation,11917.94,13.0,300.0,9.0,0.0,156351.0,406802.0,0.0,0.0
5482,c3574ad0-f3be-46d0-8e2f-704b5935ebfb,ecb98acd-bce1-444c-b224-6b6f203fa61f,Fully Paid,359524.0,Long Term,691.0,2076510.0,10+ years,Own Home,Debt Consolidation,25956.28,28.8,36.0,16.0,0.0,552615.0,885038.0,0.0,0.0
5484,35f88ed4-b64e-459d-af68-4c2aea2d10e4,e1f4e5a6-4254-489e-8c72-9aefcfa617f2,Fully Paid,618530.0,Long Term,689.0,1621631.0,8 years,Home Mortgage,Debt Consolidation,18783.78,10.4,37.0,12.0,0.0,475418.0,739904.0,0.0,0.0
5485,1326c9b0-7a1d-4a8f-aba3-5f8ca3b707c7,f52f9fe2-cf92-46fd-af70-d71f214e5601,Fully Paid,786170.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,42265.5,16.1,71.0,16.0,0.0,310802.0,408958.0,0.0,0.0
5486,2081fc5f-ab00-4bea-b64f-0908c4d67378,b1542c35-70b0-4408-bc1c-8e2cd8f70c45,Fully Paid,622072.0,Long Term,723.0,1481867.0,10+ years,Rent,Debt Consolidation,21116.6,16.9,300.0,8.0,0.0,506008.0,1069178.0,0.0,0.0
5488,278db98a-b035-4330-bf9e-6796cfa44329,2dcb6867-8ed5-4ab8-a3e7-5ea6ec6ab488,Fully Paid,101068.0,Short Term,706.0,1129037.0,8 years,Home Mortgage,Debt Consolidation,5428.87,28.1,81.0,6.0,0.0,79363.0,169224.0,0.0,0.0
5489,1066cf0d-9dbd-4ff9-9ee0-24bbac82b170,0edd8b1b-b41c-4851-b80b-01d7693b21b2,Fully Paid,429352.0,Long Term,698.0,1316358.0,10+ years,Home Mortgage,Debt Consolidation,23145.99,14.1,38.0,10.0,0.0,145065.0,238238.0,0.0,0.0
5490,dcf0a479-a59e-4889-ad89-78298bcb38ca,0d9ff1be-8097-4145-9cbb-8d63aa331ca3,Fully Paid,197428.0,Short Term,741.0,559683.0,3 years,Own Home,Debt Consolidation,7429.95,18.9,300.0,9.0,0.0,293037.0,586014.0,0.0,0.0
5494,41959bd3-8dbb-4658-8480-fd1e6670831a,8c2c7ba2-6dfb-4fb5-87e7-75225a16bbe1,Charged Off,186604.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Home Improvements,12651.72,25.8,8.0,10.0,0.0,44479.0,585266.0,0.0,0.0
5495,dbc6a71f-ae5b-403f-8af7-376f0a292b10,9848e4f5-1527-492f-a08d-6461e3e9136c,Charged Off,287210.0,Short Term,715.0,977132.0,5 years,Own Home,Debt Consolidation,7963.66,10.0,32.0,9.0,0.0,255246.0,354794.0,0.0,0.0
5497,fe3fcf27-719e-4eb3-8169-0c2bd33e5578,2b82306a-7846-4995-83f3-9e453e663b99,Charged Off,75702.0,Short Term,717.0,821864.0,10+ years,Rent,Debt Consolidation,11917.18,10.5,300.0,8.0,0.0,64657.0,90860.0,0.0,0.0
5498,c97c83c7-120e-4043-9429-d967f650217a,c9fa394c-ea81-4498-b2b8-d040208b93ab,Fully Paid,92334.0,Short Term,700.0,1234012.0,10+ years,Rent,Debt Consolidation,26119.87,10.6,16.0,12.0,0.0,59926.0,228294.0,0.0,0.0
5500,b6852f95-36ce-48da-8568-de4a9da25eb6,4656b6ec-283f-48d4-b554-df4f57757f40,Charged Off,781704.0,Long Term,699.0,2198927.0,2 years,Rent,Debt Consolidation,28219.56,16.8,300.0,12.0,3.0,263568.0,448778.0,1.0,2.0
5501,4065ff3e-86dd-4a3a-b220-2ebfa91f7d9f,3f6b19dc-0212-40b5-b15d-ee93524bfda6,Fully Paid,270226.0,Short Term,724.0,1174162.0,5 years,Home Mortgage,Debt Consolidation,19261.25,17.0,300.0,15.0,0.0,401394.0,993102.0,0.0,0.0
5502,6d4b7349-d065-4104-ac28-e5727879efb5,3cd02fd8-9b93-4c35-86b9-a83b61f091cc,Fully Paid,693704.0,Long Term,675.0,1306459.0,4 years,Home Mortgage,Other,1045.19,9.8,300.0,8.0,0.0,40185.0,528726.0,0.0,0.0
5503,d58d322a-906e-4793-8806-9c3212c0065b,6cef5565-1400-44bc-bd44-436da329ae02,Fully Paid,573892.0,Short Term,724.0,1887213.0,5 years,Rent,Debt Consolidation,7124.24,8.2,300.0,7.0,0.0,190266.0,881232.0,0.0,0.0
5505,05bc9b46-5610-43d7-9722-f763077e2718,c656021e-1696-4a10-8b77-7919abb62415,Fully Paid,453486.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Home Improvements,17910.54,30.8,10.0,13.0,0.0,252434.0,476036.0,0.0,0.0
5506,04c4c65f-e283-4cf5-b6ec-d2c8c4d5231f,2fdd320f-99d7-4196-a9ad-2c2d359d8f77,Fully Paid,214940.0,Short Term,682.0,1299410.0,7 years,Home Mortgage,Medical Bills,3486.69,10.9,21.0,11.0,0.0,0.0,0.0,0.0,0.0
5508,3cf66c52-4f41-4261-bf33-8951c308c753,cc93156c-72b0-4028-9ba9-b09f77838d43,Fully Paid,306438.0,Long Term,724.0,1174162.0,8 years,Home Mortgage,Debt Consolidation,22921.03,14.0,7.0,8.0,0.0,84227.0,170214.0,0.0,0.0
5509,7a3342eb-7b95-40e7-b061-f264ff34fb1d,0ce9597d-5fc5-4177-80a5-9f2fcf285b62,Fully Paid,187396.0,Long Term,711.0,478857.0,5 years,Own Home,Debt Consolidation,8982.44,12.4,300.0,6.0,0.0,337383.0,467852.0,0.0,0.0
5510,ae12cd14-87e3-431c-8eed-d72aeb55330a,e103b2e6-0727-420e-a594-c88bb42f56df,Fully Paid,134332.0,Short Term,702.0,928055.0,2 years,Rent,Debt Consolidation,4562.85,15.4,300.0,5.0,0.0,152494.0,188034.0,0.0,0.0
5512,03106824-afc2-48cb-b584-e66d7ecfc285,6dff2cde-c411-4f70-a272-66cabfddf964,Fully Paid,400840.0,Short Term,738.0,1192649.0,10+ years,Home Mortgage,Debt Consolidation,12622.08,31.4,53.0,6.0,0.0,289047.0,436370.0,0.0,0.0
5514,f67c0189-2bb2-4d71-a567-60ccd57ff4ee,39b0d9d2-260c-44a9-9c9c-6d0c366bf99f,Fully Paid,270160.0,Short Term,744.0,777632.0,6 years,Rent,Debt Consolidation,13666.89,13.9,300.0,9.0,0.0,296058.0,599302.0,0.0,0.0
5516,1270451a-524b-471b-adec-b20eb7d4f214,1452841b-dbfc-4daf-9605-edea84188b0f,Charged Off,111584.0,Short Term,737.0,809419.0,5 years,Rent,Debt Consolidation,17874.44,14.4,300.0,13.0,0.0,429172.0,694056.0,0.0,0.0
5517,bb064f4c-8262-4de7-ab28-cce2e3c0dd43,931d185f-1131-47d6-9b3c-320beab1bfe3,Fully Paid,219648.0,Short Term,724.0,1174162.0,2 years,Home Mortgage,Debt Consolidation,19728.46,20.1,5.0,15.0,0.0,244663.0,487608.0,0.0,0.0
5518,752604aa-aab4-4add-a921-c9df9b4bddcf,d17988dd-1189-4298-9628-c1b54c59d836,Fully Paid,176088.0,Short Term,746.0,1330665.0,10+ years,Home Mortgage,Debt Consolidation,14193.76,24.5,300.0,10.0,1.0,109858.0,441672.0,1.0,0.0
5519,10e4ce39-fe80-4c85-94fb-a6f2ccd06239,3a2ab379-e2b1-468e-ae54-72c784616788,Charged Off,546876.0,Long Term,724.0,1174162.0,5 years,Home Mortgage,Debt Consolidation,24642.62,23.4,300.0,13.0,0.0,141094.0,214698.0,0.0,0.0
5520,7bbdc070-0788-423d-bb35-e38e827601c7,468773ff-160b-4b90-8e3c-6efd49d51cc7,Charged Off,26422.0,Short Term,700.0,1331463.0,5 years,Rent,vacation,17974.76,12.2,25.0,13.0,0.0,192565.0,231308.0,0.0,0.0
5521,4618ee28-a1c4-4715-9bf0-174a2163edb8,b8dc7283-c436-499c-a952-2646a1d65d7c,Fully Paid,437316.0,Short Term,724.0,1174162.0,9 years,Rent,Debt Consolidation,15010.76,16.8,300.0,17.0,0.0,377112.0,983444.0,0.0,0.0
5523,d582710c-820a-4d85-ad1d-db49a77bb3a7,cf055d69-6680-420d-a493-7c93d4aeb394,Fully Paid,347534.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,29515.36,21.2,47.0,9.0,0.0,209855.0,269368.0,0.0,0.0
5524,c365f0db-1ffd-4615-bb4e-d75c3b43b874,ba406f58-ead6-4f1c-8764-b2478bda4c5e,Fully Paid,87274.0,Short Term,721.0,979792.0,6 years,Rent,Debt Consolidation,13064.02,14.8,72.0,11.0,0.0,126198.0,211486.0,0.0,0.0
5525,5d63b7b5-63e2-42e4-9b54-ed64e9e8cc3e,cd9992b8-1db4-452c-8abd-3cac8f8b337d,Fully Paid,452012.0,Short Term,724.0,1835799.0,10+ years,Home Mortgage,Debt Consolidation,25242.26,14.7,300.0,11.0,0.0,332386.0,592108.0,0.0,0.0
5527,e6f5f7da-c5bb-4faa-b7cb-c8ece899e927,dd28b199-775c-4e75-90dd-44c9386b7855,Fully Paid,530156.0,Short Term,724.0,1174162.0,4 years,Rent,Debt Consolidation,27819.8,12.1,300.0,14.0,0.0,453435.0,1268190.0,0.0,0.0
5528,0d38db08-c4de-47df-b9e6-18e6fba9a33c,7da1f396-60df-40da-84a2-57900bbd9981,Fully Paid,99132.0,Short Term,746.0,494646.0,4 years,Rent,Debt Consolidation,7501.96,9.5,7.0,8.0,0.0,101992.0,264198.0,0.0,0.0
5529,9a484faf-b443-451b-893c-53c8877d3a84,f52f5e99-f0a1-4996-8552-1a6a47a44a77,Charged Off,441760.0,Long Term,698.0,1907600.0,10+ years,Home Mortgage,Debt Consolidation,11684.05,18.0,300.0,14.0,0.0,386840.0,761772.0,0.0,0.0
5533,3c1497b3-9920-4247-80a2-527241c7a40c,771a5b3e-f5b0-42f5-85b1-fcea953d8b4b,Fully Paid,197406.0,Short Term,719.0,1032403.0,10+ years,Home Mortgage,Debt Consolidation,23487.04,20.4,54.0,6.0,1.0,122721.0,212080.0,1.0,0.0
5534,92a13aac-2cda-49cd-802c-d5a179d00056,26cda2c4-4a4a-4112-9cf0-d178f099ee1c,Fully Paid,221210.0,Short Term,729.0,1146270.0,8 years,Rent,Debt Consolidation,5483.02,19.4,66.0,4.0,0.0,137883.0,266068.0,0.0,0.0
5536,7c854718-be83-4ed2-98e8-5997bffe8360,de97a03b-5cbe-4302-b2b4-85723885a83f,Fully Paid,180620.0,Short Term,713.0,891385.0,2 years,Rent,Take a Trip,25627.39,14.0,300.0,14.0,0.0,173432.0,352924.0,0.0,0.0
5542,d5dfae4f-c79a-42ce-822b-402a03cc5fc3,e0b568e0-4bd1-4112-bc17-07750317a815,Fully Paid,440352.0,Short Term,717.0,1673330.0,10+ years,Home Mortgage,Debt Consolidation,25379.06,23.8,33.0,14.0,0.0,458071.0,730598.0,0.0,0.0
5543,d469690c-8b67-4c46-bf1a-69ecbc5a080a,9a086053-06d4-4528-bd30-9eb7a7e444a2,Fully Paid,196526.0,Short Term,724.0,1174162.0,10+ years,Rent,Home Improvements,8800.23,20.0,300.0,5.0,1.0,140258.0,272954.0,1.0,0.0
5546,80d14e89-52ed-474b-9024-f0dc20815977,346b9607-da46-4bdc-b44b-a815ce46dcd2,Fully Paid,266926.0,Short Term,732.0,673322.0,4 years,Rent,Debt Consolidation,18853.32,12.7,30.0,16.0,0.0,139346.0,454498.0,0.0,0.0
5547,19d64972-9c1c-43ff-9235-c9688b230338,b888c4ae-a77d-4316-a17a-72b6491d94c6,Fully Paid,210914.0,Short Term,751.0,1423005.0,10+ years,Home Mortgage,Home Improvements,948.67,25.0,300.0,5.0,0.0,10716.0,1379180.0,0.0,0.0
5548,e4a436c7-09f9-48e5-87fe-5fc27cb12b2d,7167d0ed-6f56-4e1d-9969-4a75f85c6d36,Charged Off,466334.0,Long Term,745.0,1802796.0,10+ years,Home Mortgage,Debt Consolidation,37708.35,28.8,300.0,17.0,0.0,529663.0,1506846.0,0.0,0.0
5551,e50a7f70-2bef-40e5-86b5-9e10a26e34fa,8dbbefac-2e4e-40dc-8d45-91e850903f6d,Charged Off,441144.0,Short Term,740.0,1181059.0,10+ years,Home Mortgage,Debt Consolidation,24506.96,15.7,300.0,9.0,0.0,154964.0,277772.0,0.0,0.0
5552,e9e44d5b-d3d1-4fed-b3f7-a1337f9d539a,d305a4a6-41db-4bbb-8d86-a2edebd21a2c,Fully Paid,437316.0,Long Term,684.0,1412745.0,10+ years,Home Mortgage,Debt Consolidation,21779.89,19.4,5.0,12.0,0.0,266912.0,625614.0,0.0,0.0
5553,a4c47964-bc4f-49e5-90fd-c8ee96865904,34da725c-c63e-4a81-9a81-d6027ba05aa9,Fully Paid,309650.0,Short Term,717.0,928530.0,1 year,Rent,Debt Consolidation,14160.13,10.9,300.0,8.0,0.0,385871.0,509476.0,0.0,0.0
5555,a1e343fd-5224-4a0f-8c47-c0f4af8e18f5,fa7e3454-79ea-429b-8538-fd9b5ea4650b,Fully Paid,680218.0,Long Term,743.0,1895060.0,10+ years,Home Mortgage,Debt Consolidation,23530.36,19.4,300.0,10.0,0.0,324539.0,1391830.0,0.0,0.0
5556,298297a9-ae72-4cec-9740-b2dac173c6b1,170856a2-5911-499c-a176-5f0b14ab3f27,Fully Paid,441364.0,Long Term,726.0,1048249.0,7 years,Rent,Debt Consolidation,12753.56,13.0,300.0,8.0,0.0,328168.0,564608.0,0.0,0.0
5557,1aa3e5d7-bfd3-437a-b476-2e695094c787,cfe06b3b-74bd-4f38-bbea-1f739f4be52a,Fully Paid,264770.0,Short Term,750.0,1219534.0,10+ years,HaveMortgage,Take a Trip,9654.66,23.1,300.0,7.0,0.0,46740.0,557964.0,0.0,0.0
5558,0076c53b-8cba-4e9f-a432-13ba69c28fcc,719e6f4d-a191-402d-83be-ed0e11c86005,Fully Paid,197560.0,Short Term,711.0,817456.0,2 years,Own Home,Debt Consolidation,8719.67,11.1,76.0,4.0,0.0,47690.0,80278.0,0.0,0.0
5559,0476c971-7a52-4e2b-9fd9-e4c1561a0773,dd8a16bf-a347-4c1b-ab0f-056849486b38,Fully Paid,485166.0,Long Term,699.0,952280.0,6 years,Home Mortgage,Debt Consolidation,13411.34,15.4,68.0,19.0,0.0,111264.0,317328.0,0.0,0.0
5560,209c128c-651b-4c23-b31c-c48839d8c36d,6df86b09-5473-4c79-9304-a1a2ae221c04,Fully Paid,64592.0,Short Term,723.0,821009.0,5 years,Home Mortgage,Home Improvements,12992.39,18.8,300.0,6.0,0.0,230451.0,268972.0,0.0,0.0
5562,8aea5121-9137-414b-a3f8-d5cdab0b34aa,5a21a79d-1727-4d8e-8768-835a906404b8,Fully Paid,610478.0,Long Term,723.0,1057331.0,10+ years,Own Home,Home Improvements,15243.32,24.7,300.0,11.0,0.0,253099.0,624866.0,0.0,0.0
5563,c9e76aa9-08a1-4f73-84c0-723bd6cf24e7,d9f921f3-bb17-4fe7-928d-8c6fe5b3e477,Charged Off,174372.0,Short Term,735.0,866343.0,< 1 year,Rent,Other,18770.67,6.4,300.0,5.0,0.0,80617.0,109032.0,0.0,0.0
5564,264542ca-6c24-4d72-8cda-58a2808ee922,d51e55fe-43c4-47ec-bb8f-269b86f36052,Fully Paid,301510.0,Short Term,743.0,829426.0,10+ years,Home Mortgage,Debt Consolidation,10782.5,15.9,300.0,5.0,0.0,220324.0,335214.0,0.0,0.0
5565,0d2c9fa8-92af-4680-8106-b3443cf14ccd,80f0afbe-7a1f-46c5-9d87-10c8c327ef09,Charged Off,225500.0,Short Term,724.0,1174162.0,4 years,Rent,Debt Consolidation,30681.39,9.9,300.0,13.0,0.0,180215.0,284306.0,0.0,0.0
5566,5e0ead24-8baa-4332-977e-81b402d6b4f9,b0312d4e-a760-4518-a690-cbba22a6f2f7,Fully Paid,223498.0,Short Term,682.0,579063.0,< 1 year,Rent,Debt Consolidation,12256.9,5.6,300.0,5.0,0.0,49267.0,122914.0,0.0,0.0
5570,618249d0-0ae4-4603-91fa-80d5570940ea,8443842e-0d74-41df-bf98-8ad1e2e2f539,Fully Paid,543158.0,Short Term,732.0,1934390.0,< 1 year,Rent,Debt Consolidation,21761.84,14.6,300.0,13.0,0.0,542716.0,1102464.0,0.0,0.0
5571,72e4ff02-3ea5-4d90-85c5-709e7c168d41,ad891e0d-17c1-49ae-9ef9-a156e38d2b60,Fully Paid,44220.0,Short Term,732.0,1432277.0,10+ years,Home Mortgage,Debt Consolidation,14561.41,18.0,15.0,8.0,0.0,50996.0,68574.0,0.0,0.0
5572,f73f9d48-3b40-4988-92e2-03a07088aabf,8536a869-290c-467f-a45d-389d94931ee7,Charged Off,437492.0,Short Term,737.0,1794721.0,10+ years,Home Mortgage,Debt Consolidation,25574.57,14.4,14.0,9.0,0.0,122493.0,161920.0,0.0,0.0
5574,3ad6aff2-f3ac-4b57-b28d-6efd143dbbd8,bdce347e-b5d8-4f4b-909c-6fafc4e2e819,Fully Paid,223498.0,Short Term,722.0,1602080.0,10+ years,Home Mortgage,Debt Consolidation,26434.32,19.7,300.0,11.0,0.0,268299.0,770858.0,0.0,0.0
5575,5850a820-e651-4f56-bb71-896e4000c1d4,c65cce51-5067-48aa-9a03-c7cbb1eecbba,Charged Off,222750.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,28495.63,17.1,5.0,12.0,0.0,87989.0,118052.0,0.0,0.0
5576,10370541-b931-4b6e-8b12-1426e718ecb7,f75c1f67-b802-4c0a-94a7-2348a0bdcda8,Fully Paid,90596.0,Short Term,685.0,265582.0,< 1 year,Rent,Debt Consolidation,2766.4,11.5,300.0,5.0,0.0,170297.0,259094.0,0.0,0.0
5577,67b2012d-53a4-43b7-9eeb-de7f57c3c711,84912c1b-72ce-475a-86a6-2279ba4f4a8a,Fully Paid,621236.0,Short Term,742.0,1628737.0,5 years,Rent,Debt Consolidation,41260.97,20.2,300.0,9.0,0.0,609520.0,870232.0,0.0,0.0
